GEOID,BeerPO,Pharmacies,physicians,MentalHeal,Generalhos,Secialtyho,ZoosPO,NaturePark,CasinosPO,FitnessPO,DrinkingPl,ReligiousP,Geocode_1,Rural_urba,X,Y,Walkabilit,CountyDiss,Five_ave_c,New_rural,Population,Populati_1,Populati_2,NoHealthIn,X_Black,Neighbor_D,X_Immigran,Beer,Pharmaci_1,physicia_1,MentalHe_1,Generalh_1,Secialty_1,Zoos,NaturePa_1,Casinos,Fitness,Drinking_1,Religiou_1,X_HouseRen,X_TotalGre,Depression,Mental_hea
45035010820,0,3,6,0,0,0,0,0,0,0,0,7,2,4,1479364.979,-544390.5694,10,0.236148407,568.3111576,1,2552.531,49.55,12.92,6.66,26.34,-0.642419444,6.7857703,2.484373,12.565916,8.874127,1.511578,21.362102,0.235715,0.555749,20.975509,0.299843,14.79804,8.018625,12.923759,25.52,8.61,19.60000038,12.30000019
45045002108,0,1,3,0,0,0,0,0,0,0,0,4,2,1,1234566.235,-368331.6254,14.66666667,0.40363857,2134.526712,0,2893.617,52.65,16.23,16.1,34.09,0.735722129,3.9772727,1.046751,10.167035,5.844916,0.743616,21.353172,0.164834,0.714811,15.962458,0.147078,11.724309,7.969519,8.845889,50,0.95,19.89999962,16.20000076
45091061007,2,1,1,0,1,0,0,0,0,4,1,9,2,1,1364537.922,-319887.6928,8.083333333,0.376058987,1028.956954,0,2478.336,51.61,12.35,8.25,12.92,-0.14300697,16.5756163,3.161832,11.289183,5.392878,2.175147,3.714354,0.433679,0.603509,23.226864,0.948442,28.018844,9.353098,21.923006,27.5,11.54,19.60000038,13.80000019
45051050303,3,6,42,0,1,2,0,2,0,6,0,4,2,2,1581260.39,-429447.0569,8.5,0.41628135,2.381401137,0,1242.76,51.61,38.98,4.72,0.72,-0.616316031,2.6684022,6.734448,21.025061,12.286503,2.260454,20.755031,0.428827,1.098079,45.010369,1.893486,56.263759,11.88495,15.313201,9.69,17.31,19.39999962,10.69999981
45079010411,0,3,0,8,0,0,0,0,0,0,1,4,2,1,1366785.884,-435515.3151,14.5,0.458914301,2849.4494,0,5756.572,51.5,6.33,20.93,63.31,0.264411437,3.5188216,1.893274,7.915571,4.137743,2.200071,10.823558,0.329015,0.114095,21.416828,0.080851,7.024148,3.829551,11.635409,90.59,6.44,20.10000038,19.10000038
45007012001,0,0,6,0,0,0,0,0,0,1,1,9,2,1,1212854.949,-406749.2548,7.5,0.450686063,3238.458217,0,1179.791,53.71,17.88,4.01,18.35,-0.419796324,0.6252442,2.117618,28.76283,10.039416,1.26903,21.187135,0.370361,0.338039,18.601504,0.207728,19.808635,6.460254,21.299953,26.5,16.62,23.5,15.10000038
45045000400,0,0,4,1,0,0,0,1,0,1,3,2,2,1,1235852.268,-367138.5232,16.83333333,0.40363857,2134.526712,0,2689.435,50.82,14.89,10.97,21.71,-0.522279393,5.6886228,1.111738,10.481952,4.734928,1.140184,22.683297,0.445534,3.191427,17.637096,0.444667,20.898004,14.120693,12.042574,45.49,2.22,17.29999924,10.80000019
45045001102,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1236028.285,-363603.063,12.41666667,0.40363857,2134.526712,0,3764.106,51.02,8.68,5.63,3.45,-0.608680815,2.3350254,2.358118,11.830337,6.258893,1.044637,9.696262,0.237017,0.836233,22.634814,0.415914,24.790667,13.156898,14.397786,22.49,10.61,18.60000038,10.19999981
45051060204,1,0,1,0,0,0,0,1,0,7,1,14,2,2,1568655.285,-437221.6,7.75,0.41628135,2.381401137,0,1528.764,49.08,21.46,15.03,12.69,-0.506968096,6.2395008,3.554169,11.115904,11.044975,1.430633,14.959475,0.398703,0.692673,20.995896,0.989165,22.041727,11.598544,15.495944,33.64,12.41,22.10000038,14.80000019
45079000300,0,1,4,0,0,0,0,0,0,0,0,3,2,1,1371235.723,-434289.8439,11,0.458914301,2849.4494,0,1609.199,61.02,14.85,17.72,82.73,1.284400881,0.4553415,1.076015,4.305357,3.654959,0.251377,6.496959,0.223891,0.129094,7.328361,0.097576,3.947732,1.960683,8.982688,49.37,46.99,18.5,18.39999962
45045002107,1,1,72,1,0,0,0,0,0,0,0,6,2,1,1233699.922,-369981.4876,14.08333333,0.40363857,2134.526712,0,1769.547,52.87,21.47,14.57,27.33,0.368046634,3.6435644,1.616531,8.572442,4.884333,0.872297,18.579944,0.206254,1.032053,10.915068,0,8.85423,3.078548,10.717907,47.4,3.59,21.10000038,17
45063020908,0,2,0,0,0,0,0,0,0,0,0,4,2,1,1361733.321,-453259.1792,5.833333333,0.378623054,1606.781662,0,413.458,51.73,13.78,6.95,10.62,-0.37508979,3.0695579,3.373239,14.513225,10.439506,1.097806,17.689048,0.194275,0.887398,29.99458,0.538942,27.526149,5.46822,25.678341,18.31,52.55,20.70000076,14.69999981
45063021033,0,1,0,0,0,0,0,0,0,1,0,7,2,1,1361538.732,-445421.9983,5.833333333,0.378623054,1606.781662,0,1984.122,49.92,10.9,9.2,15.21,-0.50906156,8.1917476,2.186663,12.153677,9.77,1.381369,16.535681,0.618739,0.87065,15.457391,0.28769,19.545425,3.459725,16.233284,13.19,12.91,20.60000038,14.80000019
45075011800,1,0,0,0,0,0,0,0,0,0,0,12,2,2,1369933.878,-497029.8791,3.5,0.302284027,3545.421328,0,24.61066,49.31,22.14,12.07,46.78,1.132332587,0.1054296,2.281411,11.240701,3.966212,0.637105,10.815479,0.044812,0.67457,7.084644,0.282931,4.735691,1.171059,15.508569,14.3,36.66,19.60000038,15.60000038
45071950300,0,2,0,0,0,0,0,0,0,1,0,15,2,2,1313445.845,-401291.2897,3.625,0.367942545,916.6785258,0,25.14573,46.33,19.61,10.37,22.58,0.326658291,1.3403263,5.22375,13.034661,8.578678,0.254746,17.740547,0.050262,0.318025,10.337952,0.025369,9.095693,2.484907,22.356301,27.41,81.28,22.70000076,16.89999962
45073030100,0,0,0,0,0,0,1,5,0,0,1,12,2,3,1165999.497,-379266.3478,4.458333333,0.427055378,2241.265869,0,20.73299,46.19,20.19,9.66,1.3,-0.105230218,0.0454649,0.50852,13.820792,4.368238,0.713333,5.421909,0.36166,0.315107,5.907821,0.019102,3.77979,1.930429,10.511317,13.7,91.08,23.89999962,15.30000019
45083021301,1,4,5,1,1,0,0,1,0,3,0,2,2,1,1279385.242,-345228.5878,7.583333333,0.400520119,1975.131956,0,1311.813,57.01,30.31,7.42,36.92,-0.376346365,4.7010497,0.691833,6.890811,7.161183,1.854243,14.741218,0.336435,0.192898,10.350636,0.279077,9.131773,2.66304,7.149625,66.03,25.97,20.39999962,13.10000038
45019004000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1491697.592,-548572.6979,11.16666667,0.526288399,160.2634219,0,4549.388,53.46,15.02,17.2,86.24,0.93962691,1.5795016,1.358963,4.966821,4.363907,0.613692,21.306785,0.194521,0.162425,22.541745,0.084823,5.51671,4.427318,14.164392,73.74,3.28,18.20000076,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45089970801,0,0,1,1,0,0,0,0,0,0,1,18,2,4,1493279.752,-475262.2317,3.111111111,0.320104251,1810.821787,1,17.98399,55.07,19.13,8.12,81.05,0.763305189,1.5506547,0.625494,5.304553,3.085299,0.68574,13.236007,0.041703,0.12115,6.535612,0.058653,1.625066,0.883559,17.744232,33.94,40.29,18,16.29999924
45017950400,0,0,0,0,0,0,0,0,0,0,0,8,2,2,1416547.25,-474657.2912,3.5,0.198444963,2064.36727,0,22.1804,49.92,22.32,4.73,45.35,-0.11133104,1.3597734,1.576842,7.892273,2.447353,0.931763,10.293611,0.176883,0.446164,7.334638,0.210448,4.84112,2.930439,23.168774,22.67,29.26,18.89999962,14.5
45079011416,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1384642.787,-417999.6984,7.5,0.458914301,2849.4494,0,3114.04,54.46,11.7,9.43,51.8,-0.173344675,10.5401751,2.090889,12.038155,7.402664,1.288426,9.748412,0.495642,0.434009,13.742264,0.559631,17.481159,4.488755,18.813347,21.57,12.01,18.10000038,12.30000019
